Subject,Description,Section,Days,Start_Time,End_Time,Room (Capacity),Enrollment_Cap,Instructor,Session,Units
ACCT,ACCT 444 - Advanced Auditing Theory and Practice,*100-LEC(1258),Thu,2:30PM,5:15PM,PBL 106,50   55,"Carlisle, Melissa
Staff",Regular,3
ACCT,ACCT 444 - Advanced Auditing Theory and Practice,*100-LEC(1258),Wed,3:00PM,5:45PM,PBL 106,50   55,"Carlisle, Melissa
Staff",Regular,3
ACCT,ACCT 501 - Special Problems and Topics: Accounting Information Systems,*102-IND(1487),"Tue,Thu",1:00PM,2:15PM,To Be Announced,58,"Bucaro,Anthony Carl",Regular,0-18
ACCT,ACCT 520 - Advanced Accounting Theory,*100-LEC(1460),Tue,6:00PM,8:30PM,PBL 118,50   51,"Jonas, Gregory 
Blackburn,Christopher",Regular,3
ACCT,ACCT 601 - Special Problems and Topics: Experimental Rsch & Auditing,*100-RSC(1447),Wed,9:00AM,12:00PM,To Be Announced,999,"Bucaro,Anthony Carl; Carlisle,Melissa R",Regular,1-18
BAFI,BAFI 210 - Seminar: Financial Services Industry,*400-SEM(1319),Mon,6:30PM,8:00PM,PBL 03,40,"Fine,Scott",Dyn Dt,0-1.5
BAFI,BAFI 341 - Money and Banking,*100-LEC(1238),"Tue,Thu",11:30AM,12:45PM,PBL 202,33 (50),"Harmon,Gregory William",Regular,3
ECON,ECON 341 - Money and Banking,*100-LEC(1357),"Tue,Thu",11:30AM,12:45PM,PBL 202,14 (50),"Harmon,Gregory William",Regular,3
BAFI,BAFI 341 - Money and Banking,*101-LEC(1450),"Tue,Thu",2:30PM,3:45PM,PBL 07,33 (50),"Harmon,Gregory William",Regular,3
ECON,ECON 341 - Money and Banking,*101-LEC(1451),"Tue,Thu",2:30PM,3:45PM,PBL 07,14 (50),"Harmon,Gregory William",Regular,3
BAFI,BAFI 351 - Financial Data Science: Data Analytics & Machine Learning Fundamentals,*100-LEC(1464),"Tue,Thu",11:30AM,12:45PM,PBL 05,33,"Vaidya,Jay Dee",Regular,3
BAFI,BAFI 351 - Financial Data Science: Data Analytics & Machine Learning Fundamentals,*100-LEC(1464),"Mon,Wed",10:35AM,11:50AM,PBL 05,33,"Vaidya,Jay Dee",Regular,3
BAFI,BAFI 355 - Corporate Finance,*100-LEC(1465),"Mon,Wed",9:00AM,10:15AM,PBL 401,55   50,"Gupta, Anurag
Olavarria Baeza,Jose Valentin",Regular,3
BAFI,BAFI 355 - Corporate Finance,*101-LEC(1466),"Mon,Wed",10:35AM,11:50AM,PBL 401,55   40,"Gupta, Anurag
Olavarria Baeza,Jose Valentin",Regular,3
BAFI,BAFI 355 - Corporate Finance,*101-LEC(1466),"Tue,Thu",10:00AM,11:15AM,PBL 401,55   40,"Gupta, Anurag
Olavarria Baeza,Jose Valentin",Regular,3
BAFI,BAFI 355 - Corporate Finance,*102-LEC(1508),"Tue,Thu",11:30AM,12:45PM,PBL 201   106,55   57,"Bae,Joonwoo",Regular,3
BAFI,BAFI 356 - Investments,*100-LEC(1239),"Mon,Wed",12:45PM,2:00PM,PBL 201,50   57,"Noh,Joonki",Regular,3
BAFI,BAFI 357 - ValuAtion : Financial Modeling Using A.I.,*100-LEC(1325),"Mon,Wed",10:35AM,11:50AM,PBL 07,50   60,"Balasubramanyan,Lakshmi",Regular,3
BAFI,BAFI 358 - Intermediate Corporate Finance,*100-LEC(1406),"Mon,Wed",3:20PM,4:35PM,PBL 501,50   48,"Krishnan,C N V",Regular,3
BAFI,BAFI 362 - Advanced Analytics in Credit Risk Management,*100-LEC(1326),"Tue,Thu",1:00PM,2:15PM,PBL 501,50   45,"Balasubramanyan,Lakshmi",Regular,3
BAFI,BAFI 365 - Options and Other Derivatives,*100-LEC(1509),Tue,6:00PM,8:30PM,PBL 501,50   49,"Martinez,Edwin Cornelius Amorsolo",Regular,3
BAFI,BAFI 428 - Financial Strategy and Value Creation,*100-LEC(1320),Tue,6:00PM,8:45PM,PBL 401,22 (57),"Fine,Scott",Regular,3
FNCE,FNCE 428 - Financial Strategy and Value Creation,*100-LEC(1379),Tue,6:00PM,8:45PM,PBL 401,35 (57),"Fine,Scott",Regular,3
BAFI,BAFI 429 - Investment Management,*101-LEC(1276),Mon,9:00AM,11:30AM,"PBL 118
PBL 202",10 (62),"Noh,Joonki",Regular,3
BAFI,BAFI 429 - Investment Management,*101-LEC(1276),Mon,3:00PM,5:45PM,"PBL 118
PBL 202",10 (62),"Noh,Joonki",Regular,3
FNCE,FNCE 429 - Investment Management,*101-LEC(1395),Mon,9:00AM,11:30AM,"PBL 118
PBL 202",52 (62),"Noh,Joonki",Regular,3
FNCE,FNCE 429 - Investment Management,*101-LEC(1395),Mon,3:00PM,5:45PM,"PBL 118
PBL 202",52 (62),"Noh,Joonki",Regular,3
BAFI,BAFI 431 - Fixed Income Markets and Their Derivatives,*101-LEC(1496),Tue,3:00PM,5:45PM,PBL 501,10 (62),"Bae,Joonwoo",Regular,3
FNCE,FNCE 431 - Fixed Income Markets and Their Derivatives,*101-LEC(1495),Tue,3:00PM,5:45PM,PBL 501,"42
52 (62)","Bae,Joonwoo",Regular,3
,BAFI 432 - Corporate Risk Management,100-LEC(10557),Tue,11:30AM,2:15PM,PBL 201,,"Gupta, Anurag",Regular,3.0
,FNCE 432 - Corporate Risk Management,100-LEC(10558),Tue,11:30AM,2:15PM,PBL 201,,"Gupta, Anurag",Regular,3.0
BAFI,BAFI 440 - Financial Decisions Modeling and Analytics,*100-LEC(1530),Wed,12:00PM,2:45PM,PBL 501,5 (49),"Krishnan,C N V",Regular,3
BAFI,BAFI 440 - Financial Decisions Modeling and Analytics,*100-LEC(1530),"Mon,Wed",1:30PM,2:45PM,PBL 501,5 (49),"Krishnan,C N V",Regular,3
FNCE,FNCE 440 - Financial Decisions Modeling and Analytics,*100-LEC(1477),Wed,12:00PM,2:45PM,PBL 501,44 (49),"Krishnan,C N V",Regular,3
